"model","aic","log_likelihood","accuracy","error_rate","precision","sensitivity","specificity","f1","auc"
"Model 1: Full main-effects",218.046917922036,-96.0234589610178,0.916309012875536,0.0836909871244635,0.924107142857143,0.903930131004367,0.928270042194093,0.913907284768212,0.973762275901461
"Model 2: Stepwise main-effects",215.322852780351,-98.6614263901754,0.912017167381974,0.0879828326180258,0.915929203539823,0.903930131004367,0.919831223628692,0.90989010989011,0.971938164464835
"Model 3: Stepwise transformed",200.359774146272,-88.179887073136,0.924892703862661,0.075107296137339,0.925438596491228,0.921397379912664,0.928270042194093,0.923413566739606,0.977907983711975
