"threshold","tpr","fpr","model"
0,1,1,"Model 1: Full main-effects"
9.34481774361955e-07,1,1,"Model 1: Full main-effects"
1.20630622356368e-06,1,0.9957805907173,"Model 1: Full main-effects"
1.31943009601127e-06,1,0.991561181434599,"Model 1: Full main-effects"
1.39240147795915e-06,1,0.987341772151899,"Model 1: Full main-effects"
1.42724442371167e-06,1,0.983122362869198,"Model 1: Full main-effects"
1.45836834159037e-06,1,0.978902953586498,"Model 1: Full main-effects"
1.89617011491896e-06,1,0.974683544303797,"Model 1: Full main-effects"
1.89960747008831e-06,1,0.970464135021097,"Model 1: Full main-effects"
1.91090333527066e-06,1,0.966244725738397,"Model 1: Full main-effects"
1.9650999472401e-06,1,0.962025316455696,"Model 1: Full main-effects"
2.30213601212657e-06,1,0.957805907172996,"Model 1: Full main-effects"
2.41284845749459e-06,1,0.953586497890295,"Model 1: Full main-effects"
4.01229201826451e-06,1,0.949367088607595,"Model 1: Full main-effects"
4.04833386740989e-06,1,0.945147679324895,"Model 1: Full main-effects"
7.3828045104463e-06,1,0.940928270042194,"Model 1: Full main-effects"
9.3348312071196e-06,1,0.936708860759494,"Model 1: Full main-effects"
1.1131238649317e-05,1,0.932489451476793,"Model 1: Full main-effects"
1.11796437495037e-05,1,0.928270042194093,"Model 1: Full main-effects"
1.19160821702922e-05,1,0.924050632911392,"Model 1: Full main-effects"
1.39104014332324e-05,1,0.919831223628692,"Model 1: Full main-effects"
1.69978781645539e-05,1,0.915611814345992,"Model 1: Full main-effects"
2.1973337135499e-05,1,0.911392405063291,"Model 1: Full main-effects"
2.44982907781179e-05,1,0.907172995780591,"Model 1: Full main-effects"
2.76364150956531e-05,1,0.90295358649789,"Model 1: Full main-effects"
3.0660372821868e-05,1,0.89873417721519,"Model 1: Full main-effects"
3.12431832996167e-05,1,0.894514767932489,"Model 1: Full main-effects"
3.29835367463391e-05,1,0.890295358649789,"Model 1: Full main-effects"
3.37707778608887e-05,1,0.886075949367089,"Model 1: Full main-effects"
3.59943984580011e-05,1,0.881856540084388,"Model 1: Full main-effects"
4.2834996836382e-05,1,0.877637130801688,"Model 1: Full main-effects"
4.42598564659923e-05,1,0.873417721518987,"Model 1: Full main-effects"
4.96106363334993e-05,1,0.869198312236287,"Model 1: Full main-effects"
7.96780558173115e-05,1,0.864978902953586,"Model 1: Full main-effects"
9.71032301139445e-05,1,0.860759493670886,"Model 1: Full main-effects"
0.000167766997274363,1,0.856540084388186,"Model 1: Full main-effects"
0.000182220766534001,1,0.852320675105485,"Model 1: Full main-effects"
0.000201040540932263,1,0.848101265822785,"Model 1: Full main-effects"
0.000201072966096273,1,0.843881856540084,"Model 1: Full main-effects"
0.00022571243404062,1,0.839662447257384,"Model 1: Full main-effects"
0.000233538678557682,1,0.835443037974684,"Model 1: Full main-effects"
0.000267314757280479,1,0.831223628691983,"Model 1: Full main-effects"
0.00035566876127102,1,0.827004219409283,"Model 1: Full main-effects"
0.000411709452084034,1,0.822784810126582,"Model 1: Full main-effects"
0.000436452440006689,1,0.818565400843882,"Model 1: Full main-effects"
0.000454573608558643,1,0.814345991561181,"Model 1: Full main-effects"
0.000463601523244853,1,0.810126582278481,"Model 1: Full main-effects"
0.000466346146658078,1,0.805907172995781,"Model 1: Full main-effects"
0.000514096041204515,1,0.80168776371308,"Model 1: Full main-effects"
0.00051601969857965,1,0.79746835443038,"Model 1: Full main-effects"
0.000555658689800179,1,0.793248945147679,"Model 1: Full main-effects"
0.000579472616099838,1,0.789029535864979,"Model 1: Full main-effects"
0.00062586103862228,1,0.784810126582278,"Model 1: Full main-effects"
0.000629766212441225,1,0.780590717299578,"Model 1: Full main-effects"
0.000646957836860942,1,0.776371308016878,"Model 1: Full main-effects"
0.000659181224454165,1,0.772151898734177,"Model 1: Full main-effects"
0.000661456318612291,1,0.767932489451477,"Model 1: Full main-effects"
0.000680719690293726,1,0.763713080168776,"Model 1: Full main-effects"
0.000685069104242682,1,0.759493670886076,"Model 1: Full main-effects"
0.000701782348303318,1,0.755274261603376,"Model 1: Full main-effects"
0.000708504943846826,1,0.751054852320675,"Model 1: Full main-effects"
0.000729507152938398,1,0.746835443037975,"Model 1: Full main-effects"
0.000753899055812188,1,0.742616033755274,"Model 1: Full main-effects"
0.000783830579572516,1,0.738396624472574,"Model 1: Full main-effects"
0.000805271195288899,1,0.734177215189873,"Model 1: Full main-effects"
0.000825272906034336,1,0.729957805907173,"Model 1: Full main-effects"
0.000830132595245654,1,0.725738396624473,"Model 1: Full main-effects"
0.000879869156115982,1,0.721518987341772,"Model 1: Full main-effects"
0.000882484881453412,1,0.717299578059072,"Model 1: Full main-effects"
0.00107834472214042,1,0.713080168776371,"Model 1: Full main-effects"
0.00112240005974253,1,0.708860759493671,"Model 1: Full main-effects"
0.00126677528923992,1,0.704641350210971,"Model 1: Full main-effects"
0.00127147653257956,1,0.70042194092827,"Model 1: Full main-effects"
0.00131017348385943,1,0.69620253164557,"Model 1: Full main-effects"
0.00138476562875866,1,0.691983122362869,"Model 1: Full main-effects"
0.00140050972372968,1,0.687763713080169,"Model 1: Full main-effects"
0.00140338957553275,1,0.683544303797468,"Model 1: Full main-effects"
0.00142605303065321,1,0.679324894514768,"Model 1: Full main-effects"
0.00153406313321007,1,0.675105485232067,"Model 1: Full main-effects"
0.00168017157431818,1,0.670886075949367,"Model 1: Full main-effects"
0.00168243337806295,1,0.666666666666667,"Model 1: Full main-effects"
0.00177753097098184,1,0.662447257383966,"Model 1: Full main-effects"
0.00182351614273305,1,0.658227848101266,"Model 1: Full main-effects"
0.00186755225888297,1,0.654008438818565,"Model 1: Full main-effects"
0.00198722979720409,1,0.649789029535865,"Model 1: Full main-effects"
0.00209014057218033,1,0.645569620253165,"Model 1: Full main-effects"
0.00218933565287852,1,0.641350210970464,"Model 1: Full main-effects"
0.00219583854252956,1,0.637130801687764,"Model 1: Full main-effects"
0.00220248789715773,1,0.632911392405063,"Model 1: Full main-effects"
0.00245788291834904,1,0.628691983122363,"Model 1: Full main-effects"
0.00259291620566566,0.995633187772926,0.628691983122363,"Model 1: Full main-effects"
0.00264870914287615,0.995633187772926,0.624472573839662,"Model 1: Full main-effects"
0.00271460087439386,0.995633187772926,0.620253164556962,"Model 1: Full main-effects"
0.00271593007725538,0.995633187772926,0.616033755274262,"Model 1: Full main-effects"
0.00276269033161362,0.995633187772926,0.611814345991561,"Model 1: Full main-effects"
0.00283759478638629,0.995633187772926,0.607594936708861,"Model 1: Full main-effects"
0.00290364836853158,0.995633187772926,0.60337552742616,"Model 1: Full main-effects"
0.00293835788411817,0.995633187772926,0.59915611814346,"Model 1: Full main-effects"
0.00299904169779518,0.995633187772926,0.594936708860759,"Model 1: Full main-effects"
0.00303746385295024,0.995633187772926,0.590717299578059,"Model 1: Full main-effects"
0.00312581934712844,0.995633187772926,0.586497890295359,"Model 1: Full main-effects"
0.00321204472209083,0.995633187772926,0.582278481012658,"Model 1: Full main-effects"
0.00325835145474538,0.995633187772926,0.578059071729958,"Model 1: Full main-effects"
0.00359148661192982,0.995633187772926,0.573839662447257,"Model 1: Full main-effects"
0.00368250608479597,0.995633187772926,0.569620253164557,"Model 1: Full main-effects"
0.00405407925936697,0.995633187772926,0.565400843881857,"Model 1: Full main-effects"
0.00420603166286577,0.995633187772926,0.561181434599156,"Model 1: Full main-effects"
0.00451984623612892,0.995633187772926,0.556962025316456,"Model 1: Full main-effects"
0.00475392135969332,0.995633187772926,0.552742616033755,"Model 1: Full main-effects"
0.00503691221463333,0.995633187772926,0.548523206751055,"Model 1: Full main-effects"
0.00530266219382449,0.995633187772926,0.544303797468354,"Model 1: Full main-effects"
0.00549654417775723,0.995633187772926,0.540084388185654,"Model 1: Full main-effects"
0.00550744902973262,0.995633187772926,0.535864978902954,"Model 1: Full main-effects"
0.00700569902698396,0.995633187772926,0.531645569620253,"Model 1: Full main-effects"
0.00709238866623406,0.995633187772926,0.527426160337553,"Model 1: Full main-effects"
0.00710556161310548,0.995633187772926,0.523206751054852,"Model 1: Full main-effects"
0.00720693960025127,0.995633187772926,0.518987341772152,"Model 1: Full main-effects"
0.0074660035256411,0.995633187772926,0.514767932489452,"Model 1: Full main-effects"
0.00793507694401322,0.995633187772926,0.510548523206751,"Model 1: Full main-effects"
0.00825721922825146,0.995633187772926,0.506329113924051,"Model 1: Full main-effects"
0.00835231853314709,0.995633187772926,0.50210970464135,"Model 1: Full main-effects"
0.00952789806642577,0.995633187772926,0.49789029535865,"Model 1: Full main-effects"
0.0106774828750593,0.995633187772926,0.493670886075949,"Model 1: Full main-effects"
0.0123232389612132,0.995633187772926,0.489451476793249,"Model 1: Full main-effects"
0.0131617732950097,0.995633187772926,0.485232067510549,"Model 1: Full main-effects"
0.0132664095553397,0.995633187772926,0.481012658227848,"Model 1: Full main-effects"
0.0132845814608271,0.995633187772926,0.476793248945148,"Model 1: Full main-effects"
0.0141800371075862,0.995633187772926,0.472573839662447,"Model 1: Full main-effects"
0.014505859260287,0.995633187772926,0.468354430379747,"Model 1: Full main-effects"
0.0168601366638382,0.995633187772926,0.464135021097046,"Model 1: Full main-effects"
0.0171510727278275,0.995633187772926,0.459915611814346,"Model 1: Full main-effects"
0.019471626790203,0.995633187772926,0.455696202531646,"Model 1: Full main-effects"
0.0243043484054877,0.995633187772926,0.451476793248945,"Model 1: Full main-effects"
0.0257643713253748,0.995633187772926,0.447257383966245,"Model 1: Full main-effects"
0.026694782216608,0.995633187772926,0.443037974683544,"Model 1: Full main-effects"
0.033711036732184,0.991266375545852,0.443037974683544,"Model 1: Full main-effects"
0.0370438565087576,0.991266375545852,0.438818565400844,"Model 1: Full main-effects"
0.0413671267447478,0.991266375545852,0.434599156118143,"Model 1: Full main-effects"
0.0440564605856181,0.991266375545852,0.430379746835443,"Model 1: Full main-effects"
0.0449519702494652,0.991266375545852,0.426160337552743,"Model 1: Full main-effects"
0.0556120324013848,0.991266375545852,0.421940928270042,"Model 1: Full main-effects"
0.056214495044213,0.991266375545852,0.417721518987342,"Model 1: Full main-effects"
0.0576278978542429,0.986899563318777,0.417721518987342,"Model 1: Full main-effects"
0.0639124491940963,0.982532751091703,0.417721518987342,"Model 1: Full main-effects"
0.0680954864253633,0.982532751091703,0.413502109704641,"Model 1: Full main-effects"
0.0739188247694354,0.982532751091703,0.409282700421941,"Model 1: Full main-effects"
0.0766559125727073,0.982532751091703,0.40506329113924,"Model 1: Full main-effects"
0.0770720373945447,0.982532751091703,0.40084388185654,"Model 1: Full main-effects"
0.0785061430291761,0.982532751091703,0.39662447257384,"Model 1: Full main-effects"
0.0810817864246631,0.982532751091703,0.392405063291139,"Model 1: Full main-effects"
0.0821647244660155,0.982532751091703,0.388185654008439,"Model 1: Full main-effects"
0.087890228864662,0.982532751091703,0.383966244725738,"Model 1: Full main-effects"
0.0926283471425817,0.982532751091703,0.379746835443038,"Model 1: Full main-effects"
0.0974986072796658,0.982532751091703,0.375527426160338,"Model 1: Full main-effects"
0.097939279185113,0.982532751091703,0.371308016877637,"Model 1: Full main-effects"
